,SEGMENTID,ONSTREETNAME,WORK_START_DATE,WORK_END_DATE,BOROUGH_CODE
13168,23373,beekman street,2018-09-22 00:00:00,2018-09-24 23:58:59,M
13169,23373,beekman street,2018-09-22 00:00:00,2018-09-24 23:58:59,M
13170,23373,beekman street,2018-09-22 00:00:00,2018-09-24 23:58:59,M
13171,4527,genesee avenue,2018-08-08 14:30:07,2018-08-31 23:59:59,S
13172,55380,135 avenue,2018-08-01 00:00:00,2018-08-31 23:59:59,Q
13173,55384,135 avenue,2018-08-01 00:00:00,2018-08-31 23:59:59,Q
13174,55384,135 avenue,2018-08-01 00:00:00,2018-08-31 23:59:59,Q
13175,22164,court street,2018-09-06 00:00:00,2018-09-14 23:59:59,B
13176,22166,court street,2018-09-06 00:00:00,2018-09-14 23:59:59,B
13177,22168,court street,2018-09-06 00:00:00,2018-09-14 23:59:59,B
13178,22170,court street,2018-09-06 00:00:00,2018-09-14 23:59:59,B
13179,22172,court street,2018-09-06 00:00:00,2018-09-14 23:59:59,B
13180,20953,50 street,2018-08-27 00:00:00,2018-09-28 23:58:59,B
13181,28645,farragut road,2018-11-27 00:00:00,2018-12-03 23:59:59,B
13182,28649,farragut road,2018-11-27 00:00:00,2018-12-03 23:59:59,B
13183,28651,farragut road,2018-11-27 00:00:00,2018-12-03 23:59:59,B
13184,28660,farragut road,2018-11-27 00:00:00,2018-12-03 23:59:59,B
13185,28774,farragut road,2018-11-27 00:00:00,2018-12-03 23:59:59,B
13186,28776,farragut road,2018-11-27 00:00:00,2018-12-03 23:59:59,B
13187,32024,gansevoort street,2018-06-06 18:24:02,2018-07-01 23:58:59,M
13188,32032,gansevoort street,2018-06-05 15:28:34,2018-07-01 23:58:59,M
13189,34189,west 43 street,2018-05-30 00:00:00,2018-06-02 23:58:59,M
13190,34189,west 43 street,2018-05-30 00:00:00,2018-06-02 23:58:59,M
13191,34189,west 43 street,2018-05-30 00:00:00,2018-06-02 23:58:59,M
13192,32032,gansevoort street,2018-06-05 15:28:35,2018-07-01 23:58:59,M
13193,28778,farragut road,2018-11-27 00:00:00,2018-12-03 23:59:59,B
13194,34189,west 43 street,2018-05-17 00:00:00,2018-05-20 23:58:59,M
13195,34189,west 43 street,2018-05-17 00:00:00,2018-05-20 23:58:59,M
13196,34189,west 43 street,2018-05-17 00:00:00,2018-05-20 23:58:59,M
13197,163295,shore parkway,2018-07-30 00:00:00,2018-08-07 23:59:59,B
13198,72782,indian road,2018-07-26 00:00:00,2018-08-03 23:59:59,M
13199,72784,indian road,2018-07-26 00:00:00,2018-08-03 23:59:59,M
13200,160836,north ramp viaduct,2018-06-28 11:26:57,2018-08-15 23:58:59,S
13201,72871,west 206 street,2018-08-03 00:00:00,2018-08-20 23:58:59,M
13202,72871,west 206 street,2018-08-03 00:00:00,2018-08-20 23:58:59,M
